"","1","2","3","1|2","1|3","2|1","2|3","3|1","3|2","","",""
"result.88",0.80495425,0.46629325,0.241768,0.802412081509518,0.675755433009715,0.613859086074833,0.562247238298872,0.503531088982184,0.251759354643552,78,13.362538493844,68.3837584374829
"result.89",0.117892,0.61414525,0.877132,0.107139340931749,0.371973552873427,0.373732490928181,0.464606731544907,0.642204532583487,0.881821096102021,89,16.362538493844,70.211429444402
"result.90",0.4720375,0.43782175,0.4950145,0.398569842141082,0.442378352343987,0.444854843288254,0.485120636960936,0.435229042156725,0.547714082338232,85,30.7628573818169,68.808251910782
"result.91",0.77947975,0.18607375,0.205804,0.695730444783681,0.560995895277008,0.192498418256749,0.162698033067776,0.358094764482736,0.245087566114788,68,3,65.3703644204144
"result.92",0.815194,0.62013925,0.31794175,0.826799096841899,0.903061758956371,0.744203702254135,0.6555163712342,0.847335872500542,0.30038447554428,51,3,56.3411006068015
"result.93",0.33792175,0.53772175,0.44081875,0.321318227737492,0.190384768850584,0.409576760946036,0.600769211449857,0.231664154146289,0.430961217655715,90,27.3953970337237,70.3714964933723
"result.94",0.900109,0.07818175,0.70505425,0.761027044698755,0.989451522309961,0.195392661274984,0.131732726061686,0.987557105426034,0.75965579008742,88,30.3953970337237,70.5822868424182
"result.95",0.7137955,0.6588505,0.55020925,0.737767929143143,0.932623401238037,0.737027599770207,0.671802091260875,0.909581077118365,0.537797500110031,55,6,57.8511892338928
"result.96",0.9895195,0.87238675,0.0015085,0.99600867205748,0.652587066179319,0.948165565189931,0.99901,0.00684665002083993,0.00055024162697891,84,3,70.6817785750059
"result.97",0.92383525,0.46029925,0.2132965,0.920791871924356,0.8975975494526,0.713807078453579,0.505761668331901,0.733912446420338,0.20851378381768,81,16.362538493844,69.5051459427861
"result.98",0.8626465,0.10965025,0.2152945,0.754374643851766,0.71342790808572,0.167048517952216,0.154984597571624,0.50237037704243,0.257413965147806,83,3,70.2039514732253
"result.99",0.14711275,0.581428,0.55570375,0.152444916463149,0.0585196358336332,0.354109796209169,0.52754035829715,0.169358578839111,0.552657856028511,87,27.9392047744898,69.1850441627628
"result.100",0.67408525,0.700309,0.06469525,0.794386980954279,0.0330942844266475,0.791628128751069,0.737134545248194,0.0147443960808545,0.0430254639113291,84,25.362538493844,69.389229716599
"result.101",0.81194725,0.636373,0.0714385,0.926780530570362,0.424611113133503,0.857735584445321,0.726466807121739,0.09704271026022,0.0587086269594912,85,33.9392047744898,69.4462734807104
"result.102",0.131878,0.14911075,0.83442475,0.110701943942412,0.250463237474729,0.102686082937638,0.160718170201982,0.521740039899868,0.789834166148036,78,3,67.7484305400804
"result.103",0.43981975,0.4840255,0.336673,0.405270351114114,0.198786325314693,0.460479225968815,0.518713815501701,0.166247960998436,0.325113052908203,83,18.5438077407661,69.1807544625067
"result.104",0.37038925,0.29546425,0.704305,0.210029561837608,0.567036663477616,0.183762890857013,0.289106729681105,0.666049827952117,0.756474151168718,92,35.1533325612915,70.673392428075
"result.105",0.74351575,0.305704,0.09316675,0.654937987138203,0.257594271977635,0.4658806048755,0.469492519614646,0.0868061576865774,0.112237840043429,79,29.4501539753761,67.570665769278
